Restaurant Name,Cuisine Type,Location,Best Indian Food Item,Link
Shree Ram Veg Momos ,Fast Food,Shastri Nagar,Momos,https://goo.gl/maps/UrkpbqYgqsbfGWba8
Shri Mishri Hotel,Drinks/ Dessert,"Clock Tower Road,Sardar Maket",Lassi,https://goo.gl/maps/cHM4wcfqFpP9aU9F6
Shri Nath Pav Bhaji ,Fast Food,Sardarpura,Pav Bhaji,https://goo.gl/maps/AuPkYzWaGmNC2uUQ7
Shri Parshwanath Cold Drinks,Drinks/ Dessert,Shastri Nagar,Lassi,https://goo.gl/maps/NwqUesuu57ppzSG86
Shri Parshwanath Cold Drinks,Drinks/ Dessert,Shastri Nagar,Shake,https://goo.gl/maps/NwqUesuu57ppzSG86
Shri Poker Sweer Home,Indian,Ratanada,Chole Bhature,https://goo.gl/maps/ChycciQEiVLUZu8m6
Skol Rooftop Cafe,Fast Food,"Above UCO Bank, Ratanada",Garlic Bread,https://goo.gl/maps/AwwNNgV3GSYupie79
Skyzz,Fast Food,"Blue city Mall,Ajit Colony",Manchurian,https://goo.gl/maps/ZiMnRHCx1jxbZDwPA
Skyzz,Fast Food,"Blue city Mall,Ajit Colony",Pasta,https://goo.gl/maps/ZiMnRHCx1jxbZDwPA
Sparrows Pizzeria,Fast Food,Rai Ka Bagh,Pizza,https://goo.gl/maps/SaQYgQbPCfmnhuZ78
Sparrows Pizzeria,Fast Food,Rai Ka Bagh,Pasta,https://goo.gl/maps/SaQYgQbPCfmnhuZ78
Stepwell Cafe,Drinks/ Dessert,Tunwarji ka Makrana Mohalla ,Lassi,https://goo.gl/maps/8ZYNoKWYszhcoYuK7
Subway,Fast Food,Ratanada,Burger,https://goo.gl/maps/SbPuhojTkdqNKT1y6
Subway,Fast Food,Ratanada,Sandwich,https://goo.gl/maps/SbPuhojTkdqNKT1y6
Sukh Sagar Pure veg  Family restaurant,South Indian ,Cantt Area,Medu Vada,https://goo.gl/maps/QkGyZ8RdUmw8cMQe7
Suncity Ice Cream Parlour,Drinks/ Dessert,"Residency Road,Oppo. Manidhari Hospital",Shake,https://goo.gl/maps/dwfoAoKEcSWhAhWM7
Suncity Ice Cream Parlour,Drinks/ Dessert,"Residency Road,Oppo. Manidhari Hospital",Ice Cream,https://goo.gl/maps/dwfoAoKEcSWhAhWM7
Surya Namkeen,Indian,Jalori Gate,Kachori,https://goo.gl/maps/78P2fHFkykSPLYYM9
Surya Namkeen,Indian,Jalori Gate,Samosa,https://goo.gl/maps/78P2fHFkykSPLYYM9
Surya Namkeen,Indian,Jalori Gate,Mirchi Bada,https://goo.gl/maps/78P2fHFkykSPLYYM9
Swagat Ice Cream Parlour & Juice Centre,Drinks/ Dessert,Bhaskar Chouraha,Lassi,https://goo.gl/maps/Vp9nDwg8H8JtzUJTA
Swagat Ice Cream Parlour & Juice Centre,Drinks/ Dessert,Bhaskar Chouraha,Shake,https://goo.gl/maps/Vp9nDwg8H8JtzUJTA
Swagat Ice Cream Parlour & Juice Centre,Drinks/ Dessert,Bhaskar Chouraha,Ice Cream,https://goo.gl/maps/Vp9nDwg8H8JtzUJTA
Tamarind Restaurant Jodhpur,Fast Food,Residency Road,Noodles,https://goo.gl/maps/PwZJus37FnWPcf5t7
Tatva By the Flamingo,Fast Food,Sardarpura,Noodles,https://goo.gl/maps/NiczQ6srgDaYvM7Z8
The Book Cafe,Fast Food,"Cyber Park,HI Area phase II",Noodles,https://goo.gl/maps/3pvQ8vqh7fvXn7f99
The Book Cafe,Fast Food," Cyber Park,HI Area phase II",Pasta,https://goo.gl/maps/3pvQ8vqh7fvXn7f99
The Crust,Fast Food,Sardarpura,Garlic Bread,https://goo.gl/maps/Ggd2GoCx3KH1Y5cn6
The Filod-cafe & Continental Restaurant,Fast Food,Pratap Colony Airport Rd,Sandwich,https://goo.gl/maps/kUGxv9Rr3ZGM6VLG7
The Filod-cafe & Continental Restaurant,Fast Food,"Pratap Colony Airport Rd,Panch Batti Circle",Pasta,https://goo.gl/maps/kUGxv9Rr3ZGM6VLG7
The Flamingo,Fast Food,Ratanada,Manchurian,https://goo.gl/maps/NiczQ6srgDaYvM7Z8
The Kaps Pizza,Fast Food,Olympic Road,Pizza,https://goo.gl/maps/USBRV13MUFNmX97e9
The Momo Story,Fast Food,Saradarpura,Momos,https://goo.gl/maps/GXHwTT4zBikvQoCLA
The Rockyard,Fast Food,Residency Road,Manchurian,https://g.co/kgs/Uw7XQP
The Roll 'A' Wrap,Fast Food,Shastri Circle,Rolls,https://g.co/kgs/fmD8VH
The Royal Madrasi Restro,South Indian ,Hari Nagar,Dosa,https://goo.gl/maps/2cv6yzdygJSWFgRNA
The Royal Madrasi Restro,South Indian ,Hari Nagar,Idli Sambhar,https://goo.gl/maps/2cv6yzdygJSWFgRNA
The Royal Madrasi Restro,South Indian ,Hari Nagar,Medu Vada,https://goo.gl/maps/2cv6yzdygJSWFgRNA
The spice Route Restaurant,Indian,Paota, Paneer,https://goo.gl/maps/nXwGEqQ1WV57GCWYA
The spice Route Restaurant,Fast Food,Paota,Noodles,https://goo.gl/maps/nXwGEqQ1WV57GCWYA
UFO Fries and Corn Jodhpur,Fast Food,Oppo. Arihant Tower,HotDog,https://g.co/kgs/b2NuEt
V'20 Baker's N Fast Food,Fast Food,Inside medti gate,Sandwich,"https://www.google.com/search?client=ms-android-oneplus-rvo3&hl=en-IN&cs=1&q=V%2720+Baker%27s+N+Fast+Food&ludocid=840969433676968575&gsas=1&client=ms-android-oneplus-rvo3&ibp=gwp;0,7&lsig=AB86z5VME93aTDx0EZDmjmDAfRup&kgs=9a1d96ae0ca8796d&shndl=-1&shem=lsp&source=sh/x/kp/local/4"
VEDIC Multi Cuisine,Indian,Near Bhaskar circle, Paneer,https://g.co/kgs/pRswt3
VEDIC Multi Cuisine,South Indian ,Near Bhaskar circle,Medu Vada,https://g.co/kgs/pRswt3
VEDIC Multi Cuisine,South Indian ,Near Bhaskar circle,uttpam,https://g.co/kgs/pRswt3
VEDIC Multi Cuisine,Fast Food,Near Bhaskar circle,Noodles,https://g.co/kgs/pRswt3
VEDIC Multi Cuisine,Fast Food,Near Bhaskar circle,Manchurian,https://g.co/kgs/pRswt3
Wah ji Wah Pure veg Family Restaurant,Indian,Sardarpura 10 Road,Chole Bhature,https://g.co/kgs/xtMS1Z
Wow Momos and rolls,Fast Food,Inside Sojti Gate,Momos,"https://www.google.com/search?client=ms-android-oneplus-rvo3&hl=en-IN&cs=1&q=Wow+Momos+and+rolls&ludocid=12713399873973595596&gsas=1&client=ms-android-oneplus-rvo3&ibp=gwp;0,7&lsig=AB86z5V1hVwfJ7Ygnn099Mcaz5JN&kgs=a7d08368fa9ffe61&shndl=-1&shem=lsp&source=sh/x/kp/local/4"
Wow Momos and rolls,Fast Food,Inside Sojti Gate,Rolls,"https://www.google.com/search?client=ms-android-oneplus-rvo3&hl=en-IN&cs=1&q=Wow+Momos+and+rolls&ludocid=12713399873973595596&gsas=1&client=ms-android-oneplus-rvo3&ibp=gwp;0,7&lsig=AB86z5V1hVwfJ7Ygnn099Mcaz5JN&kgs=a7d08368fa9ffe61&shndl=-1&shem=lsp&source=sh/x/kp/local/4"
